step,t,tid,truth,subtype,x,y,pred,p_uav,threat,d_asset,reco,kill
0,0.0,T00,bird,조류,-4.439077597207432,-0.37823477209759543,새/기타,0.1,6.5,3.77,감시 지속,none
0,0.0,T01,drone,고정익,3.0110296138484274,2.7998098712301953,드론,0.95,63.7,1.87,RF 재밍,soft
0,0.0,T02,bird,조류,-4.27157799521473,-0.8073301048460779,새/기타,0.1,6.5,4.01,감시 지속,none
0,0.0,T03,balloon,오물풍선,-0.5879885731743296,-3.803643944431176,풍선,0.15,8.0,3.85,감시 지속,none
0,0.0,T04,balloon,고고도 미사일 풍선,-4.24196676406553,0.27776443133498185,풍선,0.15,8.0,3.16,감시 지속,none
0,0.0,T05,drone,자폭형(FPV),-4.157592853835849,0.6607007614756543,드론,0.95,50.6,2.84,RF 재밍,soft
0,0.0,T06,bird,조류,-3.9921550207116914,-2.222990416308614,새/기타,0.1,6.5,4.57,감시 지속,none
0,0.0,T07,balloon,오물풍선,3.13958706287965,-2.651456910325782,풍선,0.15,8.0,3.71,감시 지속,none
0,0.0,T08,bird,조류,-4.230927727347884,1.0234533564813644,새/기타,0.1,24.9,2.68,감시 지속,none
0,0.0,T10,bird,조류,3.585840448432517,-1.8739818866840976,새/기타,0.1,6.5,3.07,감시 지속,none
0,0.0,T11,drone,고정익,3.794961350876846,1.5062320653238426,드론,0.95,68.6,1.39,RF 재밍,soft
0,0.0,T13,drone,회전익(헬기형),3.353891049944122,-2.8809364692414205,드론,0.95,35.0,3.97,감시 지속,none
0,0.0,T14,bird,조류,2.9688583871562373,-2.721677665564767,새/기타,0.1,6.5,3.75,감시 지속,none
0,0.0,T15,bird,조류,0.01134732203131476,4.442504519483577,새/기타,0.1,22.8,2.8,감시 지속,none
0,0.0,T16,bird,조류,-1.2408915378088168,-3.851896982721665,새/기타,0.1,6.5,4.05,감시 지속,none
0,0.0,T17,balloon,고고도 미사일 풍선,-3.8433018564237837,1.1575866276666842,풍선,0.15,31.8,2.28,감시 지속,none
0,0.0,T18,bird,조류,-0.8541370087899632,-3.848220297632845,새/기타,0.1,6.5,3.94,감시 지속,none
1,2.0,T00,bird,조류,-4.558405409664838,-0.40029088723934336,새/기타,0.1,6.5,3.87,감시 지속,none
1,2.0,T01,drone,고정익,3.048886256324914,2.8165136243754754,드론,0.95,63.4,1.9,RF 재밍,soft
1,2.0,T02,bird,조류,-4.271582600120426,-0.8045542816486283,새/기타,0.1,10.8,4.01,감시 지속,none
1,2.0,T03,balloon,오물풍선,-0.5124640488324635,-3.778819615695743,풍선,0.15,27.0,3.81,감시 지속,none
1,2.0,T04,balloon,고고도 미사일 풍선,-4.26239522474625,0.3000311850135255,풍선,0.15,9.9,3.16,감시 지속,none
1,2.0,T05,drone,자폭형(FPV),-3.8978893611982195,0.6946021772746954,드론,0.95,73.2,2.62,물리 요격(최후수단),hard
1,2.0,T06,bird,조류,-4.061337503964406,-2.2742925510825587,새/기타,0.1,6.5,4.65,감시 지속,none
1,2.0,T07,balloon,오물풍선,3.1480101284674302,-2.730281386092622,풍선,0.15,8.0,3.79,감시 지속,none
1,2.0,T08,bird,조류,-4.309443145612961,0.9760848021622227,새/기타,0.1,23.3,2.77,감시 지속,none
1,2.0,T09,balloon,고고도 미사일 풍선,-1.4273878928410637,4.49934649691581,풍선,0.15,34.3,2.08,감시 지속,none
1,2.0,T10,bird,조류,3.5883779002245055,-1.915705394423238,새/기타,0.1,6.5,3.11,감시 지속,none
1,2.0,T11,drone,고정익,3.87799682394631,1.5643068194235525,드론,0.95,67.7,1.49,RF 재밍,soft
1,2.0,T12,drone,고정익,4.048414051675995,2.0240954421487714,드론,0.95,82.8,1.86,물리 요격(최후수단),hard
1,2.0,T13,drone,회전익(헬기형),3.316602595023548,-2.937403123823511,드론,0.95,35.0,4.02,감시 지속,none
1,2.0,T14,bird,조류,2.947743329106087,-2.7094867327534664,새/기타,0.1,25.5,3.74,감시 지속,none
1,2.0,T15,bird,조류,-0.018655872133580144,4.473200939952678,새/기타,0.1,22.8,2.8,감시 지속,none
1,2.0,T16,bird,조류,-1.258983173196927,-3.7939923005395326,새/기타,0.1,25.5,4.0,감시 지속,none
1,2.0,T17,balloon,고고도 미사일 풍선,-3.8018603431485407,1.1457188221894978,풍선,0.15,51.2,2.25,포획·유도 회수,soft
1,2.0,T18,bird,조류,-0.8572327275085724,-3.8029891532868945,새/기타,0.1,25.5,3.9,감시 지속,none
1,2.0,T19,bird,조류,0.9616023576462325,-3.9234520024223856,새/기타,0.1,25.5,4.04,감시 지속,none
2,4.0,T00,bird,조류,-4.4952125174026385,-0.35614636467423955,새/기타,0.1,25.5,3.79,감시 지속,none
2,4.0,T01,drone,고정익,2.9944059294824994,2.7608239101368732,드론,0.95,83.1,1.83,물리 요격(최후수단),hard
2,4.0,T02,bird,조류,-4.220997554997082,-0.8233894705873261,새/기타,0.1,25.5,4.0,감시 지속,none
2,4.0,T03,balloon,오물풍선,-0.5441311032467959,-3.7259517404445,풍선,0.15,27.0,3.77,감시 지속,none
2,4.0,T04,balloon,고고도 미사일 풍선,-4.166133812058819,0.38610776798026114,풍선,0.15,27.0,3.03,감시 지속,none
2,4.0,T05,drone,자폭형(FPV),-3.8540742657809774,0.6248257708809284,드론,0.95,54.0,2.64,RF 재밍,soft
2,4.0,T06,bird,조류,-3.940227675487674,-2.2318159270620668,새/기타,0.1,25.5,4.53,감시 지속,none
2,4.0,T07,balloon,오물풍선,3.151893805215594,-2.6985358680560907,풍선,0.15,27.0,3.76,감시 지속,none
2,4.0,T08,bird,조류,-4.281568780315708,0.9668967303381404,새/기타,0.1,42.6,2.75,감시 지속,none
2,4.0,T10,bird,조류,3.5137048301436167,-1.9415937963755376,새/기타,0.1,8.1,3.11,감시 지속,none
2,4.0,T11,drone,고정익,3.733184580021102,1.5650801475152982,드론,0.95,88.0,1.36,물리 요격(최후수단),hard
2,4.0,T13,drone,회전익(헬기형),3.34423697642656,-2.8528498452660798,드론,0.95,54.0,3.94,RF 재밍,soft
2,4.0,T14,bird,조류,2.929873143126169,-2.7888954088357396,새/기타,0.1,6.5,3.81,감시 지속,none
2,4.0,T15,bird,조류,-0.007252673899464469,4.399126288860341,새/기타,0.1,42.6,2.75,감시 지속,none
2,4.0,T16,bird,조류,-1.2307160593146715,-3.7943827366211127,새/기타,0.1,22.5,3.99,감시 지속,none
2,4.0,T17,balloon,고고도 미사일 풍선,-3.7185256485808487,1.1771725967512086,풍선,0.15,52.2,2.17,포획·유도 회수,soft
2,4.0,T18,bird,조류,-0.7375519086816362,-3.8320647994276804,새/기타,0.1,6.5,3.9,감시 지속,none
2,4.0,T19,bird,조류,0.872384593698505,-3.952455412309479,새/기타,0.1,6.5,4.05,감시 지속,none
3,6.0,T00,bird,조류,-4.48307484261297,-0.428344353144709,새/기타,0.1,6.5,3.84,감시 지속,none
3,6.0,T01,drone,고정익,3.0068162917502486,2.7469816947144676,드론,0.95,83.0,1.82,물리 요격(최후수단),hard
3,6.0,T02,bird,조류,-4.214605312723012,-0.7382428238520825,새/기타,0.1,25.5,3.92,감시 지속,none
3,6.0,T03,balloon,오물풍선,-0.6191581629594587,-3.699438756288169,풍선,0.15,27.0,3.75,감시 지속,none
3,6.0,T04,balloon,고고도 미사일 풍선,-4.23067776965793,0.30292355670971516,풍선,0.15,8.0,3.13,감시 지속,none
3,6.0,T05,drone,자폭형(FPV),-3.8665014240665876,0.6186852965788128,드론,0.95,53.8,2.65,RF 재밍,soft
3,6.0,T07,balloon,오물풍선,3.0666488506546252,-2.697476254373466,풍선,0.15,27.0,3.74,감시 지속,none
3,6.0,T08,bird,조류,-4.398372049951995,0.926505034053996,새/기타,0.1,21.4,2.87,감시 지속,none
3,6.0,T09,balloon,고고도 미사일 풍선,-1.49047115353964,4.516415201898164,풍선,0.15,34.3,2.08,감시 지속,none
3,6.0,T10,bird,조류,3.5657038232798226,-1.942925988137463,새/기타,0.1,6.5,3.13,감시 지속,none
3,6.0,T11,drone,고정익,3.7721260584259015,1.5337090361619592,드론,0.95,68.7,1.38,RF 재밍,soft
3,6.0,T12,drone,고정익,4.003192777774082,2.01165820033036,드론,0.95,83.3,1.81,물리 요격(최후수단),hard
3,6.0,T13,drone,회전익(헬기형),3.341115533917942,-2.8304666576483166,드론,0.95,54.0,3.92,RF 재밍,soft
3,6.0,T14,bird,조류,2.87414476058467,-2.7809939030613715,새/기타,0.1,25.5,3.8,감시 지속,none
3,6.0,T15,bird,조류,-0.08354608492523788,4.435452661249723,새/기타,0.1,43.1,2.72,감시 지속,none
3,6.0,T16,bird,조류,-1.2710791648963142,-3.8337336441537353,새/기타,0.1,6.5,4.04,감시 지속,none
3,6.0,T17,balloon,고고도 미사일 풍선,-3.7051073119820455,1.0892123373708738,풍선,0.15,32.7,2.21,감시 지속,none
3,6.0,T18,bird,조류,-0.8411209527524074,-3.7568361700245636,새/기타,0.1,25.5,3.85,감시 지속,none
3,6.0,T19,bird,조류,0.9589092314695119,-3.889952356305763,새/기타,0.1,25.5,4.01,감시 지속,none
4,8.0,T00,bird,조류,-4.559391141000322,-0.4267454995263699,새/기타,0.1,6.5,3.89,감시 지속,none
4,8.0,T01,drone,고정익,2.9336740551501483,2.812914215459798,드론,0.95,63.7,1.86,RF 재밍,soft
4,8.0,T02,bird,조류,-4.271593097567168,-0.8074201615444498,새/기타,0.1,6.5,4.01,감시 지속,none
4,8.0,T03,balloon,오물풍선,-0.5078247678597991,-3.7092114583207882,풍선,0.15,21.4,3.74,감시 지속,none
